track_id,track_name,artist_name,year,popularity,album_name,language,tempo,danceability,energy,valence,acousticness,liveness,speechiness,instrumentalness,duration_ms
5n84NHfVcJm8IboFJVHFAz,"Chaleya (From ""Jawan"")","Arijit Singh, Shilpa Rao",2023,48,Rewind 2023 - R For Romance,Hindi,95.047,0.575,0.845,0.439,0.393,0.131,0.0852,0.0107,200374.0
221q1lfnUNgxgJOTK0HK7i,"Baundule Ghuri (From ""Dawshom Awbotaar"")","Arijit Singh, Shreya Ghoshal, Anupam Roy",2023,48,"Baundule Ghuri (From ""Dawshom Awbotaar"")",Hindi,129.302,0.43,0.415,0.218,0.846,0.122,0.0389,0.0,343154.0
6eF3jODUBew4DBD2xWZA4e,Tera Fitoor (Lofi Mix),Arijit Singh,2023,48,Tera Fitoor (Lofi Mix),Hindi,129.686,0.418,0.572,0.56,0.588,0.1,0.0385,0.169,173077.0
71LEPsf3t2FT3GGP8FC3ta,Poo Pookkum Osai,"A.R. Rahman, Sujatha, Malaysia Vasudevan",2023,48,A.R.R Music Blossom,English,99.994,0.841,0.582,0.737,0.0388,0.0905,0.088,6.21e-06,404307.0
3HOH4riy8Ycz5dUya2uUOH,"Kaadhal Rojave (From ""Roja"")","A.R. Rahman, S. P. Balasubrahmanyam, Sujatha",2023,48,A.R.R Music Blossom,Unknown,90.882,0.727,0.278,0.485,0.777,0.153,0.0567,0.00127,303360.0
768EkqSx9tvhMotfwGEum3,Chal Ve Watna,"Pritam, Javed Ali, Varun Grover",2023,48,Dunki,Hindi,82.018,0.482,0.656,0.477,0.76,0.0775,0.0414,0.000125,252119.0
3rQDMaRia4W2M0Fliv9J4I,"Maine Pi Rakhi Hai (From ""Tu Jhoothi Main Makkaar"")","Pritam, Shreya Ghoshal, Amitabh Bhattacharya, Divya Kumar",2023,48,"Maine Pi Rakhi Hai (From ""Tu Jhoothi Main Makkaar"")",Hindi,105.07,0.733,0.876,0.586,0.143,0.214,0.281,0.0,247714.0
2oiiCDTm2kSITbLlyyNYF9,Chaudhary,"Amit Trivedi, Jubin Nautiyal, Yohani, Mame Khan",2023,48,Chaudhary,Hindi,89.975,0.728,0.75,0.628,0.496,0.141,0.047,0.194,256232.0
3UK3ZCRxqV3FOEMnGxeFZa,Middle Ground (feat. Mickey Guyton),"Maroon 5, Mickey Guyton",2023,48,Middle Ground,English,103.854,0.35,0.507,0.229,0.538,0.0639,0.0319,0.0,219853.0
5NlYplrGsjUDFZ6x3HeVyT,Lavender Haze,Taylor Swift,2023,48,Lavender Haze (Remixes),English,97.045,0.736,0.455,0.087,0.235,0.189,0.0791,0.000623,202396.0
2Xeyoy0TGrSHR0MBI8e4zS,君じゃない誰かの愛し方 (Ring),TOMORROW X TOGETHER,2023,48,SWEET,Korean,129.35,0.446,0.737,0.496,0.0166,0.42,0.0581,0.0,204112.0
2bOrjwAmNpzLZBIe51FAUq,Angel Eyes,NCT 127,2023,48,Fact Check - The 5th Album,Korean,118.02,0.701,0.884,0.701,0.33,0.0978,0.0607,0.0,184280.0
0RRulrevan6sxj7KfMBi6k,Je Ne Sais Quoi,NCT 127,2023,48,Fact Check - The 5th Album,Korean,91.968,0.753,0.759,0.446,0.129,0.19,0.0867,1.53e-06,215827.0
2KsiPmkW27MalI0SqC64eI,"Eve, Psyche & the Bluebeard's wife (feat. UPSAHL)","LE SSERAFIM, UPSAHL",2023,48,"Eve, Psyche & the Bluebeard's wife (feat. UPSAHL)",Korean,143.033,0.664,0.872,0.676,0.0394,0.0561,0.145,0.0,186119.0
0aZ8DSEdBJbBfrNtnqgJy3,STYLE,ITZY,2023,48,RINGO,Korean,100.012,0.732,0.929,0.457,0.134,0.193,0.0484,0.0,183547.0
2oLVT9Lo0SavCNpGw4WfPp,OMG (FRNK Remix) (Instrumental),NewJeans,2023,48,NJWMX,Korean,129.056,0.807,0.737,0.558,0.114,0.216,0.047,0.00253,210400.0
6tU4EeTSSawN9sbfAjWPX4,Hype Boy (250 Remix) (Instrumental),NewJeans,2023,48,NJWMX,Korean,85.989,0.741,0.541,0.616,0.0256,0.0772,0.048,0.722,251000.0
2akxtSALPUX8orriSWyDi4,Cookie (FRNK Remix) (Instrumental),NewJeans,2023,48,NJWMX,Korean,80.002,0.869,0.275,0.42,0.764,0.104,0.0684,0.639,212400.0
1q9V1vsIEehAm2hDT6l53g,Hurt (250 Remix) (Instrumental),NewJeans,2023,48,NJWMX,Korean,89.996,0.614,0.43,0.973,0.0241,0.0576,0.0491,0.678,216547.0
0feBL3YZOwuLcVjTZhMjRZ,Wind And Wish,BTOB,2023,48,WIND AND WISH,Korean,179.952,0.613,0.906,0.638,0.0923,0.0715,0.188,0.0,221467.0
3Ro0jYDrZcygFkdomURHqt,Baarishein (Acoustic),Anuv Jain,2023,48,Baarishein (Acoustic),Hindi,150.594,0.42,0.158,0.316,0.822,0.132,0.0365,5.34e-06,209250.0
3aHkWsXc5dmvP6br9FUN28,"Jorthaale - From ""Rudhran""","Asal Kolaar, ofRO, MC Vickey",2023,48,"Jorthaale (From ""Rudhran"")",Tamil,169.981,0.744,0.956,0.609,0.535,0.0872,0.38,2.69e-06,227472.0
1KYqHPwbceagFffliE7fBg,Kanja Poovu Kannala,"Yuvan Shankar Raja, Sid Sriram",2022,48,Viruman (Original Motion Picture Soundtrack),Tamil,109.971,0.675,0.692,0.514,0.29,0.178,0.0963,0.0,237559.0
6Ic8DEtpraRuSk1eY4q2ms,Jai Balayya Mass Anthem,"Thaman S, Kareemullah",2022,48,"Jai Balayya Mass Anthem (From ""Veera Simha Reddy"")",Unknown,79.026,0.609,0.964,0.831,0.582,0.302,0.213,5.64e-05,230791.0
63QHoaekyoDm8dbtXJhGqA,"Tera Chehra (From ""Sanam Teri Kasam"") - Lofi Mix","Arijit Singh, Himesh Reshammiya, VIBIE",2022,48,"Tera Chehra (From ""Sanam Teri Kasam"") [Lofi Mix]",Hindi,104.862,0.274,0.412,0.0778,0.792,0.38,0.0679,0.0082,244571.0
