track_id,track_name,artist_name,year,popularity,tempo,danceability,energy,valence,acousticness,liveness,speechiness,instrumentalness,duration_ms,lead_artist
2RJnNdu4pb3MypbBroHU0T,Safe & Sound (feat. Joy Williams and John Paul White) (Taylor's Version),"Taylor Swift, Joy Williams, John Paul White",2021,69,144.751,0.41,0.312,0.22,0.783,0.0783,0.0269,6.36e-06,239668.0,Taylor Swift
2WnAKZefdRHxtBEkRjFOHC,Anyone,Justin Bieber,2021,69,115.885,0.685,0.521,0.578,0.185,0.111,0.0345,3.59e-06,190779.0,Justin Bieber
2ehRU518I0hYqMGQnk4lDY,invisible string,Taylor Swift,2020,69,83.455,0.651,0.459,0.454,0.859,0.105,0.0507,6.63e-05,252880.0,Taylor Swift
6MWoRt97mnSTXZhu3ggi9C,hoax,Taylor Swift,2020,69,118.819,0.662,0.181,0.429,0.966,0.133,0.0415,3.86e-06,220043.0,Taylor Swift
3RaT22zZsxVYxxKR7TAaYF,"no body, no crime (feat. HAIM)","Taylor Swift, HAIM",2020,69,79.015,0.546,0.613,0.535,0.418,0.103,0.0264,0.0,215627.0,Taylor Swift
76mOLcXOjOEhyY4mMF1l3r,seven,Taylor Swift,2020,69,94.955,0.602,0.494,0.374,0.888,0.0902,0.0277,2.59e-05,208907.0,Taylor Swift
3ObPkJQAgjAhTwYvDhPrAW,Blue Hour,TOMORROW X TOGETHER,2020,69,112.005,0.71,0.82,0.746,0.00962,0.0871,0.0836,0.0,209105.0,TOMORROW X TOGETHER
77UjLW8j5UAGAGVGhR5oUK,Pray For Me (with Kendrick Lamar),"The Weeknd, Kendrick Lamar",2018,69,100.584,0.735,0.677,0.188,0.0762,0.111,0.093,2.17e-05,211440.0,The Weeknd
7DKS0rX27cCEPsK0R6tFWS,Wasted Times,The Weeknd,2018,69,122.585,0.56,0.678,0.29,0.61,0.111,0.0581,1.42e-05,220293.0,The Weeknd
70lnL3QaSOIIyMa2X9aVRL,Perro Fiel (feat. Nicky Jam),"Shakira, Nicky Jam",2017,69,183.817,0.75,0.76,0.893,0.187,0.0548,0.198,0.0,195213.0,Shakira
2rizacJSyD9S1IQUxUxnsK,All We Know,"The Chainsmokers, Phoebe Ryan",2016,69,90.0,0.662,0.586,0.296,0.097,0.115,0.0307,0.00272,194080.0,The Chainsmokers
6K4Co1NQyOnoFEJMkZHkln,James Joint,Rihanna,2016,69,134.202,0.399,0.203,0.405,0.66,0.27,0.0298,0.000163,72080.0,Rihanna
1N3dZ7TTWO6VcD4Y3hHYLZ,Try Everything,Shakira,2016,69,115.474,0.705,0.609,0.476,0.0257,0.0846,0.0307,0.0,196853.0,Shakira
24NrkwIc5BzCUqzJaG6USZ,Deja Vu,TOMORROW X TOGETHER,2024,68,162.844,0.357,0.572,0.238,0.0811,0.145,0.069,0.0,171428.0,TOMORROW X TOGETHER
3CCRVu4F91Qp2mnGjmWBrf,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,2023,68,109.95,0.633,0.551,0.164,0.066,0.127,0.0341,9.94e-06,279833.0,Taylor Swift
6qxvy9Pe4RJIq5JBVbbwbS,Maroon,Taylor Swift,2023,68,108.055,0.65,0.397,0.0382,0.0609,0.089,0.0365,1.4e-06,218271.0,Taylor Swift
12nBPF4Rh4XLFJV0YLN7uj,Innocent (Taylor's Version),Taylor Swift,2023,68,133.627,0.522,0.598,0.149,0.101,0.152,0.0284,0.0,301222.0,Taylor Swift
6PQOU00xWNrGwCZzboriXy,"You're On Your Own, Kid",Taylor Swift,2023,68,120.044,0.694,0.386,0.39,0.423,0.126,0.0597,1.05e-05,194207.0,Taylor Swift
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),Taylor Swift,2023,68,94.868,0.511,0.822,0.305,0.000421,0.0899,0.0397,0.0197,231000.0,Taylor Swift
53H3sGmqiXWO4MwuZAJfyn,Devil by the Window,TOMORROW X TOGETHER,2023,68,133.995,0.536,0.596,0.643,0.0592,0.116,0.0984,6.6e-06,186471.0,TOMORROW X TOGETHER
43mnNatwMMydJ4CxMdQVnJ,"Farewell, Neverland",TOMORROW X TOGETHER,2023,68,167.952,0.615,0.645,0.787,0.357,0.113,0.134,0.0,180676.0,TOMORROW X TOGETHER
7kaFsQygyiCqRboWCXztxZ,Do It Like That,"TOMORROW X TOGETHER, Jonas Brothers",2023,68,119.992,0.772,0.921,0.842,0.0103,0.334,0.0531,0.0,145066.0,TOMORROW X TOGETHER
5LMoKDVzW2kDneNu2UbspP,Zero,NewJeans,2023,68,171.932,0.705,0.653,0.578,0.31,0.122,0.17,1.46e-05,154194.0,NewJeans
3pUa0ZxdSeaJXm0EIydD3F,"Would've, Could've, Should've",Taylor Swift,2022,68,157.984,0.488,0.832,0.554,0.424,0.139,0.114,0.00288,260362.0,Taylor Swift
3QF5RsWzK1lCvf2o2cY65P,Dear Reader,Taylor Swift,2022,68,107.747,0.562,0.388,0.159,0.481,0.117,0.0705,0.00145,225194.0,Taylor Swift
3KyKxJ4P3pVCgaZwaq2rUC,Gasoline,The Weeknd,2022,68,123.006,0.728,0.741,0.31,0.000582,0.33,0.0473,0.00206,212166.0,The Weeknd
6iiAfo4wTA2CVC3Uwx9uh8,You're Not Sorry (Taylor's Version),Taylor Swift,2021,68,133.873,0.506,0.444,0.241,0.0538,0.123,0.0285,0.0,261843.0,Taylor Swift
6Wlq9rqkxrqj5Kls4Kw14H,evermore (feat. Bon Iver),"Taylor Swift, Bon Iver",2021,68,125.177,0.39,0.27,0.32,0.937,0.111,0.0308,0.00227,304107.0,Taylor Swift
7J4b3LVCIGO4CMBDFLPoP6,Holy Ground (Taylor's Version),Taylor Swift,2021,68,156.894,0.622,0.809,0.511,0.0288,0.109,0.0638,0.00218,202960.0,Taylor Swift
1cSFlSBdpT4F5vb1frQ231,The Other Side Of The Door (Taylor's Version),Taylor Swift,2021,68,163.936,0.432,0.873,0.629,0.0279,0.167,0.0577,0.0,238444.0,Taylor Swift
7eResoqEJJAVTkQYSqvO3P,That's When (feat. Keith Urban) (Taylor's Version) (From The Vault),"Taylor Swift, Keith Urban",2021,68,90.201,0.588,0.608,0.508,0.225,0.092,0.0365,0.0,189496.0,Taylor Swift
